#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,مؤتمر العلا لإقتصادات الأسواق الناشئة ,وزارة المالية ,"هو حدث يقام سنويًا في محافظة العلا بتنظيم من وزارة المالية والمكتب الإقليمي لصندوق النقد الدولي في الرياض، ويجمع صُنّاع السياسات من وزارة المالية والبنوك المركزية وقادة من المنظمات الدولية إلى جانب كبار المستثمرين العالميين والأكاديميين، وتتناول نقاشات المؤتمر التطورات الاقتصادية والسياسات الرامية إلى تعزيز الازدهار الشامل والمرونة من خلال التعاون الدولي.","Sunday, February 8, 2026","Monday, February 9, 2026",2,Tier 1,أعمال,العلا,الاقتصاد والتجارة,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى إمباك,وزارة الإعلام,"حدث تستضيف من خلاله وزارة الإعلام المؤثرين في مختلف التخصصات والمجالات وأبرز صناع المحتوى الرقمي، بحيث تفتح الأفاق لتبادل التجارب المتنوعة وإبراز الخبرات والمواهب الرقمية محلياً ودولياً.","Tuesday, February 10, 2026","Wednesday, February 11, 2026",2,Tier 2,أعمال,العلا,الإعلام والنشر,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان التمور ,الهيئة المليكة لمحافظة العلا,"يمثل الموسم رافداً اقتصادياً مهماً للمحافظة ويتيح الفرصة لمزارعي العلا عرض منتجاتهم من التمور أمام المشترين والمستثمرين من داخل وخارج المملكة، كما يستضيف جلسات تفاعلية مع نخبة من أشهر الطهاة بهدف تسليط الضوء على التراث الغني للعلا، واستكشاف طرق مبتكرة لاستخدام التمور في صناعة منتجات وأطباق متنوعة.","Thursday, October 1, 2026","Saturday, October 31, 2026",31,Tier 2,أعمال,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى وادي عشار ,الهيئة المليكة لمحافظة العلا,هو حدث سنوي عن منتدى للقيادة الفكرية مصمم لربط كبار المؤثرين والشخصيات في قطاع الترفيه للتعاون في تحديد أجندة صناعة السينما والإعلام والترفيه.,"Monday, October 12, 2026","Saturday, December 12, 2026",3,Tier 1,أعمال,العلا,الإعلام والنشر,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مركز العلا للموسيقى,الهيئة المليكة لمحافظة العلا," يقدم سلسلة من الورش والعروض الموسيقية العربية والكلاسيكية الغربية وموسيقى الجاز، بمشاركة مجموعة متنوعة من الآلات والأساليب الصوتية.","Thursday, January 1, 2026","Thursday, December 31, 2026",365,Tier 3,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,مهرجان الحمضيات ,الهيئة المليكة لمحافظة العلا,"يمثل مهرجان الحمضيات في العلا حدثاً اقتصاديًا محوريًا يمنح المزارعين المحليين منصة مميزة لعرض وبيع منتجاتهم، دعمًا للاقتصاد الزراعي في المحافظة التي تضم ما يقارب 5,000 مزرعة منتجة.","Thursday, January 8, 2026","Thursday, January 15, 2026",8,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,حفلات مرايا ,الهيئة المليكة لمحافظة العلا,"يستضيف ويقدّم مسرح مرايا 3 حفلات غنائية بمشاركة مجموعة من أبرز الفنانين الإقليميين والدوليين، لتقديم عروض موسيقية متنوعة تناسب جميع الفئات العمرية.","Thursday, January 8, 2026","Friday, January 23, 2026",3,Tier 2,ترفيه,العلا,مهرجانات موسمية,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان العلا للفنون,الهيئة المليكة لمحافظة العلا,"يتحول المهرجان إلى مركز نابض بالإبداع والتبادل الثقافي، من واحة العلا إلى حي الفنون الجديد وما بعدهما، حيث تتيح للزوار فرصة استكشاف معارض الفن المعاصر والمنشآت الفنية وعروض التصميم المبتكرة، إلى جانب العروض الأدائية والورش التفاعلية والفعاليات المجتمعية.","Friday, January 16, 2026","Saturday, February 14, 2026",30,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض عوالم التصميم في فيلا الحِجر,الهيئة المليكة لمحافظة العلا,"تستضيف فيلا الحجر في مهرجان فنون العلا ثلاثة مشاركات فنية بارزة في التصميم المعاصر، تشمل قطع أثاث لفنانين سعوديين وشركاء سويسريين وأعمال معاصرة بالشراكة مع مؤسسات فرنسية.","Friday, January 16, 2026","Saturday, February 14, 2026",30,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,Desert X AlUla 2026 ,الهيئة المليكة لمحافظة العلا,"في دورته الرابعة بعنوان (فضاء بلا حدود)، يقدّم المعرض أعمالاً فنية ضخمة مستوحاة من تأمّلات جبران خليل جبران تتناغم مع طبيعة العلا وتاريخها، وتشمل تشكيلات ومنحوتات فنية في وادي الفن، إلى جانب جولات وأنشطة مثل تأمّل النجوم ومسارات تجمع بين رياضة الهايكنق والفن.","Friday, January 16, 2026","Saturday, February 28, 2026",44,Tier 2,ترفيه,العلا,معارض فنية وثقافية,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
