#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,Fit Expo,KAFFAK,"أول وأضخم معرض رياضي في المملكة العربية السعودية وحقق حضورًا تجاوز 50,000 زائر من مختلف دول الخليج في الأعوام الماضية، يعود المعرض بنسخته الرابعة كمنصة تجمع للرياضيين وعشاق اللياقة وقادة القطاع.","Wednesday, January 28, 2026","Saturday, January 31, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض طيب الحزم للعود والعطور,القطاع الخاص - طيب الحزم,"من أبرز معارض العود والعطور في الشرق الأوسط، يضم المعرض نخبة من أبرز علامات العطور الإقليمية والعالمية، ويُبرز الابتكار في صناعة العطور مع الحفاظ على أصالة العطر العربي وتقاليده","Wednesday, January 28, 2026","Saturday, February 7, 2026",,Tier 1,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,منتدى منطقة مكة للاستثمار,هيئة تطوير منطقة مكة المكرمة,"منتدى اقتصادي بالتعاون مع الجهات ذات الصلة يهدف إلى جمع صناع القرار الحكوميين، المستثمرين، روّاد الأعمال، وممثلي القطاع الخاص لمناقشة فرص الاستثمار والتنمية الاقتصادية في منطقة مكة المكرّمة، وتسهيل جذب الاستثمارات والاستفادة من الإمكانات الاقتصادية المتنوعة في المنطقة.","Sunday, February 1, 2026","Tuesday, February 3, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,المنتدى العالمي للمياه,وزارة البيئة والمياه والزراعة,"من أكبر الأحداث الدولية في مجال المياه على مستوى العالم، يُنظَّم كل ثلاث سنوات تحت إشراف المجلس العالمي للمياه  وبالتعاون مع الدولة المضيفة. يهدف المنتدى إلى جمع صانعي القرار من الحكومات والمنظمات الدولية والقطاع الخاص والمجتمع المدني والمؤسسات الأكاديمية لمناقشة التحديات المائية العالمية، تبادل الخبرات، وتطوير الحلول المستدامة لإدارة الموارد المائية.","Wednesday, April 1, 2026","Friday, April 3, 2026",,Tier 1,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض أسبوع البيئة,وزارة البيئة والمياه والزراعة,"معرض يقام بشكل سنوي، يهدف إلى رفع مستوى الوعي البيئي وتعزيز حماية الموارد الطبيعية، وتشجيع ممارسات التنمية المستدامة، حيث يتم تنفيذ العديد من الفعاليات والبرامج والمبادرات خلال هذا الأسبوع في كافة أنحاء المملكة بمشاركة الأفراد والقطاعات الحكومية والخاصة وغير الربحية.","Wednesday, April 1, 2026","Tuesday, April 7, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,الربع الثاني من عام 2026م,تضمن,
,مؤتمر البحر الأحمر الثاني عشر ,هيئة المتاحف ,"مؤتمر دولي يقام بحضور المختصين والباحثين في علوم الآثار من مختلف دول العالم، تقدم فيه آخر الأبحاث العلمية والأكاديمية التي تتناول موضوعات البحر الأحمر ويحظى المؤتمر بأهمية في الوسط العلمي والأكاديمي وعلماء الآثار الدوليين. ","Thursday, April 9, 2026","Monday, April 13, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,الملتقى العلمي في مجالات البحوث الإجتماعية والإنسانية,المركز الوطني للدراسات والبحوث الاجتماعية ,"يهدف الملتقى إلى تسليط الضوء على واقع الابتكار التقني وتطبيقات الذكاء الاصطناعي في مجالات البحوث الاجتماعية واستعراض النتائج البحثية، ومناقشة أحدث المستجدات العلمية، وتبادل الخبرات. والتعاون بين الجامعات والمؤسسات البحثية، والمساهمة في تطبيق نتائج البحث العلمي لخدمة المجتمع والتنمية الوطنية.","Thursday, April 16, 2026","Thursday, April 16, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,المنتدى الأكاديمي للعمارة والتصميم,هيئة فنون العمارة والتصميم,"يتطلع المنتدى في نسخته الرابعة إلى تعزيز التميز الأكاديمي في مجال تعليم التصميم، بالإضافة إلى خلق منصة لنقل الخبرات والتجارب وأفضل الممارسات العالمية التعليمية في المجال من قبل أهم الخبراء والأكاديميين على الصعيد العالمي. ","Thursday, April 16, 2026","Saturday, April 18, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,مؤتمر اجتماع التعاون والنمو العالمي لـWEF,وزارة الاقتصاد والتخطيط,"يركز المنتدى على توفير منصة تجمع قادة الحكومات ورجال الأعمال والأوساط الأكاديمية وقادة المجتمع لمناقشة القضايا العالمية ووضع معايير للتغيير، ويهدف المنتدى إلى تعزيز التعاون بين القطاعين العام والخاص لمعالجة القضايا العالمية والإقليمية والصناعية، ومناقشة قضايا التعاون الدولي والنمو والطاقة.","Wednesday, April 22, 2026","Thursday, April 23, 2026",,Tier 1,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى اليوم العالمي للقياس,الهيئة السعودية للمواصفات والمقاييس والجودة,"ملتقى سنوي يُعقد بالتزامن مع اليوم العالمي للقياس بمشاركة خبراء محليين ودوليين، ويشمل أوراق علمية وورش عمل افتراضية","Wednesday, May 20, 2026","Wednesday, May 20, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,لن تضمن,
