#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,معرض اكتفاء 2026,شركة أرامكو السعودية,"معرض تجاري وصناعي تنظمه أرامكو السعودية ضمن برنامج IKTVA، يهدف إلى تعزيز المحتوى المحلي وتوطين الصناعات والخدمات المرتبطة بقطاع الطاقة، يجمع المعرض الموردين والشركات والمستثمرين والجهات الحكومية لتبادل الخبرات وإبرام الشراكات التجارية.","Tuesday, January 13, 2026","Friday, January 16, 2026",4,Tier 1,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض العطور عبر العصور,مؤسسة توق التجارية,"فعالية تستعرض تاريخ العطور وتطورها عبر العصور، مع إبراز الروائح التقليدية والحديثة وتقديم تجربة تفاعلية للزوار للتعرف على الفن والثقافة العطرية.","Wednesday, January 28, 2026","Tuesday, February 3, 2026",7,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض المعدات الثقيلة والشاحنات,شركة سي بي اي تريد ببلشنج منطقة حرة ذ.م.م. ,معرض يجمع الشركات والخبراء لاستعراض أحدث المعدات والحلول في البناء والنقل وفرص التعاون والشراكات التجارية.,"Monday, February 2, 2026","Wednesday, February 4, 2026",3,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض لمتنا,شركة حلول المنافسة لإقامة وتنظيم المعارض,"فعالية تسويقية واجتماعية رائدة تُقام سنوياً، وتُعد واحدة من أبرز الوجهات الموسمية (خاصة في شهر رمضان) والتي تجمع بين أرقى العلامات التجارية المحلية والخليجية في قطاعات الأزياء والجمال والديكور تحت سياق ثقافي وترفيهي يعزز الروابط الاجتماعية.","Thursday, February 26, 2026","Wednesday, March 4, 2026",7,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض السيارات الدولي بالمنطقة الشرقية,مؤسسة الأيادي المعطاة لتنظيم المعارض والمؤتمرات,"حدث سنوي رائد يُعد الأكبر من نوعه في المنطقة الشرقية، يجمع تحت سقف واحد كبرى شركات وصنّاع السيارات في العالم ووكلاء العلامات التجارية الدولية في المملكة، يمثل المعرض منصة استراتيجية لاستعراض أحدث النماذج والتقنيات المبتكرة في عالم المحركات والحلول المستقبلية للنقل.","Thursday, April 23, 2026","Saturday, April 25, 2026",3,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان أفلام السعودية,جمعية السينما," فعالية سينمائية سنوية، تُعنى بدعم صناعة السينما السعودية عبر عرض أفلام مختارة وبرامج مهنية تسهم في تطوير المواهب وتعزيز المشهد الثقافي.","Thursday, April 23, 2026","Wednesday, April 29, 2026",7,Tier 1,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,المؤتمر السعودي الدولي للعلوم الصيدلية,الجمعية الصيدلية السعودية ,"مؤتمرعلمي يجمع الأكاديميين والباحثين والصيادلة لمناقشة أحدث التطورات في العلوم الصيدلية، الابتكارات الدوائية، والتقنيات الحديثة، مع فرص للتواصل الأكاديمي والمهني وبناء الشراكات البحثية.","Thursday, April 30, 2026","Saturday, May 2, 2026",3,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض جواهر العالم,جواهر العالم,"فعالية للمجوهرات والساعات الفاخرة تجمع أشهر العلامات التجارية والمصممين المستقلين، وتوفر منصة لعرض المنتجات والتفاعل مع العملاء والشركاء واستكشاف أحدث الابتكارات في صناعة المجوهرات.","Saturday, May 16, 2026","Tuesday, May 19, 2026",4,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض الحرف والأعمال اليدوية,غرفة الشرقية,"يهدف المعرض إلى تطوير مهارات الحرفيين والفنانين التشكيليين الإبداعية والمهنية والإدارية، بما يضمن رفع جودة منتجاتهم وتمكينهم من عرضها وتسويقها من خلال قنوات منظمة تسهم في توفير دخل مستدام، وتشجعهم على خوض تجربة ريادة الأعمال.","Tuesday, September 1, 2026","Saturday, September 5, 2026",5,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,المؤتمر السعودي البحري اللوجستي 2026,شركة تحالف الفعاليات المحدودة,"مؤتمر دولي يجمع نخبة من قادة الصناعة البحرية وصناع القرار والمبتكرين من جميع أنحاء العالم، يهدف المؤتمر إلى مناقشة مستقبل الملاحة العالمية والخدمات اللوجستية مع تسليط الضوء على الفرص الاستثمارية الهائلة في الموانئ السعودية والبنية التحتية للنقل.","Wednesday, September 16, 2026","Thursday, September 17, 2026",2,Tier 1,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض الوظائف 2026,غرفة الشرقية ,"يسلط المعرض الضوء على التوظيف للمنشآت وطالبي العمل في المنطقة الشرقية، ويوفر الكفاءات الوطنية المطلوبة للشركات من خلال تسهيل عملية التوظيف والتواصل بين قطاع الأعمال ومقدمي خدمات التدريب والتوظيف.","Sunday, September 27, 2026","Tuesday, September 29, 2026",3,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض التطبيقات الإلكترونية ,غرفة الشرقية ,معرض التطبيقات منصة تقنية تجمع المطورين والشركات ورواد الأعمال لاستعراض الحلول الرقمية والتطبيقات الذكية ودعم الإبتكار والتحول الرقمي وفتح فرص التعاون والشراكات في بيئة الأعمال.,"Wednesday, November 11, 2026","Thursday, November 12, 2026",1,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى السلامة المرورية,الجمعية السعودية للسلامة المرورية ,"فعالية سنوية تهدف إلى تعزيز السلامة المرورية وتقليل الحوادث على الطرق، يجمع الحدث بين الجهات الحكومية والشركات المتخصصة وخبراء النقل والمستثمرين لتبادل الخبرات وعرض أحدث التقنيات والحلول المرورية وتطوير السياسات والإجراءات المتعلقة بالسلامة على الطرق.","Monday, December 7, 2026","Wednesday, December 9, 2026",3,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,حفل الاستقبال السنوي لقطاع الأعمال 2026,غرفة الشرقية ,مناسبة تجمع قادة ورواد الأعمال لتعزيز العلاقات وفرص التعاون لدعم نمو الإقتصاد المحلي.,"Wednesday, December 16, 2026","Wednesday, December 16, 2026",1,Tier 2,أعمال,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,موسم شتاء إثراء ,مركز الملك عبد العزيز الثقافي العالمي - إثراء,"موسم شتاء إثراء يقدّم تجربة ثقافية وترفيهية متكاملة، تضم عروضًا فنية وموسيقية وفعاليات سينمائية وورشًا إبداعية وأنشطة عائلية وتجارب تفاعلية، ضمن أجواء شتوية ملهمة تعزز الإبداع والمعرفة.","Wednesday, October 29, 2025","Thursday, April 30, 2026",184,Tier 2,ترفيه,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تفعيلات المدينة العالمية بالدمام,شركة ويجا الدولية ,"وجهة فريدة من نوعها تنقل سحر التقاليد والنكهات والمهرجانات العالمية إلى قلب الدمام، تضم تفعيلات وعروض حية لدول مختلفة داخل المدينة العالمية، تُعدّ المدينة العالمية احتفالاً موسمياً بثقافات العالم مما يتيح فرصةً لاكتشاف وتذوق وتجربة كل ما هو جديد.","Tuesday, December 9, 2025","Thursday, April 30, 2026",122,Tier 2,ترفيه,حاضرة الدمام,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,حفل افتتاح ملعب أرامكو,شركة أرامكو السعودية,"حفل افتتاح ملعب أرامكو بالخبر، يتضمن الافتتاح ألعاب نارية وعروض حية، ويعتبر أيقونة رياضية عالمية بسعة 47,000 متفرج، يتميز بتصميم يحاكي ""الدوامات البحرية""، ومجهز بأحدث تقنيات لاستضافة كأس آسيا 2027 ومباريات كأس العالم 2034 التاريخية.","Tuesday, September 1, 2026","Tuesday, September 1, 2026",1,Tier 1,ترفيه,حاضرة الدمام,,أساس,لم تلغى,متواصلة,الربع الرابع 2026م,تضمن,
,,,,,,,,,,,,,,,,
