#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,معرض Innoprom,قطاع خاص (فورميكا إيفيت ذ.م.م),"يُعد المعرض منصة صناعية دولية رفيعة المستوى تركز على التقنيات الصناعية المتقدمة والتصنيع الذكي والتحول الصناعي وبناء الشراكات والاستثمارات الصناعية، حيث يستهدف صُنّاع القرار والمستثمرين وقادة القطاع الصناعي.","Saturday, February 8, 2025","Monday, February 10, 2025",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,خارج نطاق 2026
,المعرض العالمي للذكاء الاصطناعي,مجموعة VAP,يُعدّ معرض الذكاء الاصطناعي العالمي ملتقىً فريداً من نوعه يضمّ نخبة من روّاد الابتكار في مجال الذكاء الاصطناعي وقادة الصناعة وصنّاع السياسات  ويعتبر منصةٌ فعّالة لعرض مستقبل الذكاء الاصطناعي على نطاق عالمي.,"Sunday, February 9, 2025","Monday, February 10, 2025",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,خارج نطاق 2026
,حفل اليوم السعودي للمسؤولية الاجتماعية,الإدارة العامة للمسؤولية المجتمعية والعمل التطوعي,"حفل للاحتفاء باليوم السعودي للمسؤولية المجتمعية تحت شعار ""نلتزم بمسؤوليتنا الاجتماعية"" والذي يهدف الى تعزيز العمل التطوعي ويدعم النشاط الاجتماعي، حيث يتم فيه تكريم الشركاء والاحتفاء بالشركاء الجدد.","Sunday, March 23, 2025","Sunday, March 23, 2025",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,خارج نطاق 2026
,معرض الطب البيطري,وزارة البيئة والمياه والزراعة,الحدث السنوي المختص والأبرز في قطاع الطب البيطري والرعاية الصحية للحيوانات إذ يجمع بين نخبة من الخبراء والممارسين البيطريين من داخل المملكة وخارجها إلى جانب ذلك الشركات العالمية والمحلية العاملة في مجالات المعدات البيطرية والأدوية والتغذية الحيوانية والتقنيات الحديثة.,"Saturday, April 26, 2025","Saturday, April 26, 2025",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,الربع الثاني 2026م,تضمن,خارج نطاق 2026
,ملتقى الصحة العالمي,وزارة الصحة,يوفر الملتقى منصة مثالية تقوم من خلالها الشركات بالترويج لأحدث ابتكاراتها في منتجات وخدمات الرعاية الصحية لبعض أكبر المعاهد في المنطقة وصناع القرار الرئيسيين.,"Sunday, May 11, 2025","Tuesday, May 13, 2025",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,خارج نطاق 2026
,اليوم العالمي لمكافحة المخدرات,المديرية العامة لحرس الحدود,تقيم المديرية العامة لحرس الحدود معرض توعوي ومحاضرات تثقيفية ومنشورات توعوية.,"Thursday, June 26, 2025","Thursday, June 26, 2025",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,خارج نطاق 2026
,اليوم العالمي لسلامة المرضى,المركز السعودي لسلامة المرضى,"يتم الاحتفال باليوم العالمي لسلامة المرضى سنويًا في 17 سبتمبر وقد أُسس بموجب قرار الجمعية العامة الثانية والسبعين للصحة العالمية في عام 2019، حيث يهدف هذا اليوم إلى رفع مستوى الوعي العام والمشاركة المجتمعية وتعزيز الفهم العالمي ودفع العمل العالمي لتحسين سلامة المرضى.","Wednesday, September 17, 2025","Wednesday, September 17, 2025",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,خارج نطاق 2026
,منتدى الأمم المتحدة العالمي للبيانات 2026,الهيئة العامة للإحصاء,"المنتدى العالمي للبيانات الذي تنظمه الأمم المتحدة كل عامين، حيث يُعد منصة دولية تجمع بين الحكومات والمجتمع المدني والقطاع الخاص والأوساط الأكاديمية لتسريع التقدم في مجال البيانات لدعم التنمية المستدامة.","Monday, November 10, 2025","Wednesday, November 12, 2025",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,خارج نطاق 2026
,مؤتمر العمارة السلمانية,جامعة الأمير سلطان,"فعالية علمية وثقافية تُبرز مفاهيم العمارة السلمانية التي تمزج بين الأصالة والحداثة وتعكس الهوية الوطنية السعودية، بمشاركة نخبة من الخبراء والمهندسين المعماريين، وتسلط الضوء على جهود الجهات المعنية وفي مقدمتهم أمير منطقة الرياض، ومعالي وزير الثقافة، ومعالي وزير السياحة، وأمين منطقة الرياض.","Monday, November 17, 2025","Thursday, November 20, 2025",,Tier 3,أعمال,الرياض,,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,لن تضمن,خارج نطاق 2026
,معرض العود والعطور الدولي,قطاع خاص ,"يعد هذا المعرض وجهة مثالية لعشاق العطور، حيث يشارك فيه أكثر من 100 علامة تجارية محلية وعالمية ويقدم أحدث منتجاتها وتشكيلاتها الحصرية كما يتميز المعرض بالعديد من الفعاليات بما في ذلك ورش عمل حول فنون صناعة العطور ومزج المكونات المختلفة بالإضافة إلى عروض حية وخصومات استثنائية على المنتجات.","Thursday, December 25, 2025","Monday, January 5, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,منتدى الالتزام البيئي الدولي,المركز الوطني للرقابة على الالتزام البيئي,.يعد المنتدى منصة وطنية ودولية رائدة تجمع بين صُنّاع القرار من مختلف القطاعات الحكومية والخاصة بهدف تعزيز الامتثال البيئي ومناقشة أحدث السياسات والتقنيات الداعمة للاستدامة كما يسعى المنتدى إلى توسيع نطاق الاستثمارات الخضراء وتعزيز دور الاقتصاد الدائري في تنمية مصادر الدخل الوطني ورفع مستوى الوعي والتثقيف البيئي لدى الأفراد والمؤسسات. ,"Thursday, January 1, 2026","Thursday, January 1, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,لن تضمن,غير مضمنة
,اثنينية التواصل الحضاري,مركز الملك عبدالعزيز للتواصل الحضاري,برنامج أسبوعي يضم مختصين في المجالات حسب موضوع الأمسية.,"Thursday, January 1, 2026","Thursday, January 1, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,لن تضمن,Tier 3
