#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,ملتقى أبها للاستثمار العقاري ,غرفة ابها,ملتقى للاستثمار العقاري يجمع جهات حكومية ومطورين ومستثمرين لعرض فرص التطوير السكني والتجاري والسياحي ومناقشة نماذج الشراكة والتمويل والتمكين التنظيمي للقطاع.,"Sunday, February 15, 2026","Sunday, February 15, 2026",1,Tier 2,أعمال,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرص امباك,وزارة الإعلام,فعالية تفاعلية تهدف إلى تمكين الشباب والمهتمين بالإعلام من خلال لقاءات ونقاشات عملية تسلط الضوء على فرص القطاع وصناعة التأثير الإعلامي,"Friday, April 3, 2026","Saturday, April 4, 2026",2,Tier 2,أعمال,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى أبها للاستثمار الزراعي ,غرفة ابها,ملتقى للاستثمار الزراعي يجمع مزارعين وشركات زراعية وجهات تمويل لبحث فرص الاستثمار في سلاسل القيمة الزراعية والتقنيات الحديثة والتصنيع الغذائي وبرامج الدعم.,"Wednesday, May 20, 2026","Wednesday, May 20, 2026",1,Tier 2,أعمال,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض أبها للتوظيف,غرفة ابها,معرض يركز على تمكين الشباب ورواد الأعمال عبر جلسات وورش عمل ولقاءات تعاون بمحتوى يرتبط بالابتكار وريادة الأعمال.,"Monday, September 7, 2026","Wednesday, September 9, 2026",3,Tier 3,أعمال,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,معرض الصحة والجمال,غرفة ابها,معرض للصحة والجمال يجمع جهات وخبراء وعلامات في مجالات الطب والعناية والتجميل واللياقة لعرض منتجات وخدمات مع أنشطة توعوية ومحاضرات تهدف إلى تعزيز الوعي بأسلوب حياة صحي.,"Saturday, September 26, 2026","Sunday, September 27, 2026",2,Tier 2,أعمال,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى أبها للاستثمار اللوجستي ,غرفة ابها,ملتقى للاستثمار اللوجستي يعرض فرصاً في المستودعات والخدمات اللوجستية وسلاسل الإمداد والنقل مع جلسات شراكات ومناقشات مشاريع بين القطاعين العام والخاص.,"Monday, September 28, 2026","Monday, September 28, 2026",1,Tier 2,أعمال,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى أبها للاستثمار الصناعي ,غرفة ابها,ملتقى للاستثمار الصناعي يعرض فرص إنشاء وتوسعة مصانع في أبها ومحيطها مع مشاركة جهات حكومية ومستثمرين ومناقشات دعم وتمكين القطاع الصناعي.,"Wednesday, December 9, 2026","Wednesday, December 9, 2026",1,Tier 2,أعمال,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض الامتياز التجاري,غرفة ابها,معرض امتياز تجاري يُعد منصة وطنية تجمع العلامات التجارية بالمستثمرين عبر معرض أبها للفرنشايز لعرض فرص الامتياز ونماذج التشغيل وتمكين المنشآت الصغيرة والمتوسطة مع جلسات تعريفية ولقاءات أعمال وفق البرنامج المعتمد.,"Tuesday, December 15, 2026","Friday, December 18, 2026",4,Tier 2,أعمال,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تفعيلات الوادي,شركة شبل الطائف,فعالية موسمية  تتضمن مطاعم ومقاهي موسمية ومتاجر للتسوق وعروض فنية داخلية ومنطقة أنشطة للأطفال بالإضافة إلى تجارب زراعية متنوعة.,"Thursday, January 1, 2026","Saturday, January 31, 2026",31,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,منتزة الريف,ريف بارك,فعالية شتوية في موقع ريفي تتضمن جلسات تراثية وتجارب تذوق مثل خبز التنور والعسل مع فقرات فنية خفيفة وجولة لقطف الفواكه الموسمية.,"Thursday, January 1, 2026","Saturday, January 31, 2026",31,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,Deera Night,ريف بارك,فعالية شتوية في موقع جبلي تشمل جلسات شعبية وجولات تعريفية بالنباتات العطرية وتجربة ركوب الجمال وفقرات فلكلورية وجلسات حول النار ضمن منطقة مخصصة للعرض.,"Thursday, January 1, 2026","Saturday, January 31, 2026",31,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,منتجع هدفه,مؤسسة سلافه محمد الشهري,فعالية تراثية عائلية تتضمن فقرات فلكلورية وأيامًا موضوعية مثل يوم من الماضي وليلة الشواء ويوم الجدات إضافة إلى أسواق مصاحبة ومسابقات وأركان للحرف والمنتجات المحلية.,"Thursday, January 1, 2026","Saturday, January 31, 2026",31,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
